"","...1","bermuda","somer","somers","summer_islands","summer_isles"
"1","A01622",11.6054016,0,0,0,0
"2","A16286",5.530036046,0,0,0,0
"3","A10821",11.6054016,0,0,0,0
"4","A15097",5.530036046,0,0,0,0
"5","A07439",5.530036046,0,0,0,0
"6","A13217",11.6054016,0,0,0,0
"7","A16507",9.36316494,0,0,0,0
"8","A18028",9.36316494,0,0,0,0
"9","A03195",5.530036046,0,0,0,0
"10","A07251",5.530036046,0,0,0,0
"11","A12136",5.530036046,0,0,0,0
"12","A13460",5.530036046,0,0,0,0
"13","A13477",5.530036046,0,0,0,0
"14","A14439",5.530036046,0,0,0,0
"15","A14916",5.530036046,0,0,0,0
"16","A16924",5.530036046,0,0,0,0
"17","A17810",5.530036046,0,0,0,0
"18","A69225",5.530036046,0,0,0,0
"19","B12363",5.530036046,0,0,0,0
