,cannibals,islands,caribs,bahamas,guiana,sommer,somer,somers,barbados,summer_islands,summer_isles,trinidado,angelfish,tobago,morequito,sugarcane,berreo,guianian,trinidad,bermuda,guyana,tobacco,west_indies,cannibal,amazon,shipwreck,sugar,island,summer
A02753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.14041268,0,0,0,0,0,0,0,0,10.34461306
A10354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.63675847,0,34.21502519,22.67525358,0,9.925894266,33.14573787,4.692321798,18.65600166,14.85798641,18.74350186,0,4.431304662,11.92174954,4.992607212
westindies_keyinwords,7.366470448,7.366470448,7.366470448,7.366470448,7.366470448,7.366470448,7.366470448,7.366470448,7.366470448,7.366470448,7.366470448,7.366470448,7.366470448,7.366470448,6.96100534,6.673323267,6.673323267,6.673323267,6.673323267,5.862393051,5.862393051,4.692321798,4.422031469,4.16779733,4.089325715,2.621538319,2.617199918,2.570679902,1.913288371
A20114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.862393051,0,0,11.53901656,0,0,0,0,5.394860433,0
A05569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.29891847,5.862393051,0,0,7.487150113,14.16173885,12.04678613,0,13.105192,23.00615691,9.614946948
A10376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.862393051,0,0,0,0,0,0,0,8.219040964,1.913288371
A19854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.862393051,0,0,0,0,0,0,0,0,5.89185969
A19859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.862393051,0,0,0,0,0,0,2.617199918,0,11.05712977
A16221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.41036687,0,0,2.621538319,7.7100358,11.85319401,7.738337745
A02655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.944791423,11.53901656,0,0,0,5.492487909,7.572992014,0
A03702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.55226876,0,0,0,2.617199918,9.853964504,0
A06339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.280129581,0,12.04678613,0,8.892971229,15.04369659,6.50115351
A11416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.280129581,4.16779733,6.923830304,2.621538319,4.431304662,5.394860433,1.913288371
A16565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.280129581,0,0,0,0,0,0
A05051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.673323267,0,0,0,0,0,0,7.487150113,0,0,0,5.492487909,13.49220124,0
A05335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.487150113,7.056694299,4.089325715,4.438650214,4.431304662,8.734901087,7.82734395
A05336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.487150113,0,0,4.438650214,2.617199918,4.352539428,1.913288371
A05575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.487150113,0,0,4.438650214,0,6.708029597,4.015250486
A13705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.487150113,4.16779733,0,2.621538319,2.617199918,11.63582403,0
