,cannibals,tobago,angelfish,trinidado,summer_isles,summer_islands,barbados,islands,somers,sommer,guiana,bahamas,berreo,somer,morequito,guianian,caribs,sugarcane,bermuda,guyana,trinidad,amazon,west_indies,cannibal,tobacco,sugar,shipwreck,island,summer
westindies_keyinwords,7.722027929,7.722027929,7.722027929,7.722027929,7.722027929,7.722027929,7.722027929,7.722027929,7.722027929,7.722027929,7.722027929,7.722027929,7.316562821,7.316562821,7.316562821,7.316562821,7.316562821,6.335733568,6.112590017,5.93026846,5.524803352,4.483349477,4.071369688,3.915365439,3.539977786,2.850654702,2.531852721,2.515277756,2.069538749
A17848,0,0,0,0,0,0,0,0,0,0,0,0,0,7.316562821,0,0,0,0,0,0,0,0,0,0,0,0,0,7.022050493,4.938528646
A02495,0,0,0,0,0,0,0,0,0,0,0,0,41.70792271,0,32.89898005,27.60238238,0,15.11892529,26.02799839,36.65963601,30.3853669,22.36735902,25.2138168,17.36068026,15.33590773,17.37117766,11.6047949,22.80718715,13.16494063
A22928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.524803352,10.69859158,18.18166179,0,8.44742903,9.114183276,7.458610627,12.85526734,10.12381166
A02239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.09684319,0,0,2.850654702,2.531852721,16.6883387,10.36287005
A16275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.8159477,0,0,0,7.068323809,10.17309732,6.616780151
A06788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.51422675,0,0,5.982418989,0,9.326776189,2.069538749
A16795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.44604484,3.915365439,0,0,2.531852721,8.96683782,3.504033698
A05339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.01708323,6.629289954,15.07356716,4.826577972,6.041745872,11.23256618,8.26932277
A13830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.80664315,12.53754495,0,0,0,0,12.45375319,7.807518544
A16711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.29624832,0,0,0,0,11.36628488,0,9.237352245,4.826577972,0,11.91655501,3.504033698
A19211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.62398642,0,0,6.802501242,0,14.29213828,7.032075931
A18501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.715486528,3.915365439,0,0,6.606712479,0,3.504033698
A01426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.51643336,9.715486528,0,0,4.826577972,0,16.78526157,0
