,cannibals,angelfish,trinidado,summer_isles,summer_islands,barbados,islands,somer,somers,sommer,guiana,bahamas,caribs,tobago,morequito,guianian,berreo,sugarcane,trinidad,guyana,bermuda,amazon,cannibal,west_indies,tobacco,sugar,island,shipwreck,summer
westindies_keyinwords,7.800170068,7.800170068,7.800170068,7.800170068,7.800170068,7.800170068,7.800170068,7.800170068,7.800170068,7.800170068,7.800170068,7.800170068,7.800170068,7.39470496,7.107022888,6.883879336,6.883879336,6.413875707,5.785267048,5.660103905,5.448794811,4.561491616,4.111290614,3.971528672,3.502884662,3.06397162,2.676206089,2.566391223,2.135474982
A07363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.60970731,0,9.796205367,19.33970144,7.164746998,8.636976481
A10228,0,0,0,0,0,0,0,0,0,0,0,0,0,7.39470496,7.107022888,17.96305573,11.65542089,13.46023838,15.09629517,20.17798378,14.21829176,20.07602496,14.96122224,14.15829859,13.99658929,10.92290366,17.29854603,8.475725396,10.57325709
A17230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.57280236,4.111290614,12.69786908,3.502884662,6.430088494,6.386215499,0,5.095871909
A10357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.14103252,9.583388968,0,20.07602496,0,11.69976662,0,5.18775491,16.66138116,8.475725396,9.846499848
A23464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.413875707,0,0,0,13.43774445,10.7281576,11.08755278,3.502884662,16.37326815,21.105984,4.345278063,12.42906567
A01395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.583388968,0,10.88506172,4.111290614,10.36345749,0,3.06397162,11.0674348,0,6.290917424
A06694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.107022888,6.883879336,21.198504,0,9.795308591,22.61625984,0,10.88506172,0,10.36345749,3.502884662,3.06397162,9.326328395,0,5.095871909
A12466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.21172451,0,0,10.36345749,9.779211425,5.18775491,0,0,8.056268835
A07280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.785267048,0,0,0,0,9.477236475,0,6.430088494,13.9684783,2.566391223,6.827593098
A12460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.448794811,0,0,9.477236475,0,6.430088494,0,0,5.095871909
A14518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.477236475,0,6.430088494,8.556431881,6.124164904,5.57238938
B14174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.477236475,0,0,8.556431881,6.124164904,6.290917424
A01443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.961020112,8.334698875,21.00754289,6.430088494,5.616318985,0,5.57238938
A01444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.961020112,8.334698875,20.887157,6.430088494,5.616318985,0,5.57238938
A19936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.413875707,0,0,0,12.73458741,0,8.334698875,3.502884662,3.06397162,12.26644129,0,0
A02626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.883879336,6.413875707,15.09629517,26.24921953,0,18.44905519,0,6.724382573,11.19950893,7.311538199,11.77851123,0,3.615673446
A03884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.724382573,0,0,0,0,0
A03885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.724382573,0,0,0,0,2.135474982
A04408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.724382573,0,0,9.326328395,0,0
A13306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.883879336,0,0,12.14103252,9.583388968,0,0,0,6.724382573,17.4758357,5.18775491,2.676206089,0,0
A13364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.724382573,0,0,6.386215499,0,4.48153404
