,cannibals,angelfish,trinidado,summer_isles,summer_islands,islands,somer,somers,sommer,guiana,bahamas,caribs,barbados,tobago,guianian,berreo,morequito,sugarcane,trinidad,bermuda,guyana,amazon,cannibal,west_indies,tobacco,sugar,shipwreck,island,summer
westindies_keyinwords,7.97634807,7.97634807,7.97634807,7.97634807,7.97634807,7.97634807,7.97634807,7.97634807,7.97634807,7.97634807,7.97634807,7.97634807,7.570882962,7.570882962,7.28320089,7.28320089,7.060057339,6.271599978,5.836281907,5.411398713,5.302199421,4.680511204,4.300047399,4.025104352,3.588090886,3.244545234,2.805864075,2.700787691,2.355947205
A71306,0,0,0,0,0,0,0,0,0,0,0,0,7.570882962,0,7.28320089,7.28320089,11.95371618,22.35793631,21.23856445,28.70241102,26.14952301,23.35099573,24.55125049,21.45675797,20.94110992,18.28213308,8.640494394,20.79803979,14.45561718
A71305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.271599978,16.29349528,15.1073236,5.302199421,13.78836546,16.96127457,17.97505302,13.30482113,15.73652328,10.91585436,21.62682917,14.28315382
A12461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.16165678,9.881684256,23.44328591,5.302199421,0,0,16.46687278,17.62478498,9.991387376,4.750740848,11.16909187,12.22655258
A09010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.836281907,11.35642784,0,0,0,16.27962487,14.15300555,14.96033174,0,9.176993728,13.99819586
A03450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.302199421,0,0,15.18506328,3.588090886,10.71538672,0,4.572831064,0
A10231,0,0,0,0,0,0,0,0,0,0,0,0,0,7.570882962,19.00506053,15.28461489,7.060057339,19.31302551,16.29349528,20.74304576,21.44486453,22.39245319,17.59167646,15.18506328,16.64008063,13.81558683,10.21070023,19.88597567,12.7379451
A14803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.61874182,0,0,0,0,0,14.925289,7.530011626,6.809042498,0,7.956277869,6.577237918
A71307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.82271187,0,0,0,18.93043259,7.280613129,14.34929317,12.7913623,18.37528432,10.91585436,20.62307047,13.49342332
A02826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.271599978,0,0,0,4.680511204,0,14.02711292,7.530011626,11.80708611,0,14.53571129,4.944219755
