,morequito,somer,caribs,bahamas,guiana,sommer,somers,islands,summer_islands,summer_isles,trinidado,angelfish,tobago,cannibals,berreo,guianian,barbados,trinidad,sugarcane,guyana,bermuda,west_indies,amazon,cannibal,tobacco,sugar,island,shipwreck,summer
westindies_keyinwords,7.881411304,7.881411304,7.881411304,7.881411304,7.881411304,7.881411304,7.881411304,7.881411304,7.881411304,7.881411304,7.881411304,7.881411304,7.881411304,7.881411304,7.188264123,7.188264123,6.965120572,6.271973391,6.009609127,5.630119505,5.530036046,4.531507216,4.400171214,4.041958991,3.618731427,2.954157618,2.705261571,2.626523495,2.077783494
A01622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.630119505,11.6054016,20.51123538,0,6.84363147,0,16.73069175,14.52576093,2.626523495,13.28457378
A16286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.17078913,0,0,6.271973391,10.17515275,17.33762389,5.530036046,17.09551302,7.450137485,8.482504809,6.127044912,2.954157618,14.62658981,2.626523495,6.120963483
A10821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.965120572,10.61937406,6.009609127,11.81543798,11.6054016,15.39758695,4.400171214,0,10.10262773,14.62675435,16.48518824,2.626523495,8.765910552
A02758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.61937406,6.009609127,0,0,13.3494131,0,9.645303948,15.1192547,15.58810342,11.41316264,0,11.2840615
A12471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.62082794,10.61937406,0,15.71793944,0,11.82468673,14.95132097,4.041958991,14.27386529,2.954157618,2.705261571,2.626523495,6.643140453
A03065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.009609127,0,0,10.81351012,4.400171214,8.482504809,9.442854979,7.049489667,8.649328783,2.626523495,4.360461974
A09487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.50987673,0,0,0,0,5.677295177,5.512054483,0
A12458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.50987673,7.450137485,0,10.10262773,0,4.580406002,0,6.398412806
A13415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.50984111,0,0,0,9.50987673,0,11.90724801,16.04540884,10.03791821,12.61615411,4.44709085,8.847402703
A14621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.50987673,0,0,0,0,5.677295177,0,2.077783494
A15097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.965120572,0,0,0,5.530036046,9.50987673,0,0,0,0,0,0,2.077783494
A16489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.34069637,9.532620966,0,9.50987673,9.234253383,8.482504809,3.618731427,12.21690174,16.05430428,6.267658206,9.342769192
A00665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.672508667,0,4.041958991,0,2.954157618,9.192195504,10.74521912,9.793782238
A01108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.188264123,0,0,0,0,0,7.672508667,0,0,3.618731427,7.049489667,17.68519917,2.626523495,7.407192932
A03066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.630119505,0,7.672508667,11.48197359,8.482504809,11.56989706,11.14482172,9.427584038,4.44709085,7.838622577
